REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWROCGCRIXX01,2022,5.6541451
GLOBAL,PWROCGCRIXX01,2023,33.547406
GLOBAL,PWROCGCRIXX01,2024,33.401547
GLOBAL,PWROCGCRIXX01,2025,33.547406
GLOBAL,PWROCGCRIXX01,2026,120.53557
GLOBAL,PWROCGCRIXX01,2027,367.3276
GLOBAL,PWROCGCRIXX01,2028,39.381737
GLOBAL,PWROCGCRIXX01,2029,39.527595
GLOBAL,PWROCGCRIXX01,2030,39.527595
GLOBAL,PWROCGCRIXX01,2031,43.174052
GLOBAL,PWROCGCRIXX01,2032,60.373626
GLOBAL,PWROCGCRIXX01,2033,43.174052
GLOBAL,PWROCGCRIXX01,2034,43.174052
GLOBAL,PWROCGCRIXX01,2035,43.174052
GLOBAL,PWROCGCRIXX01,2036,48.862526
GLOBAL,PWROCGCRIXX01,2037,48.862526
GLOBAL,PWROCGCRIXX01,2038,48.716667
GLOBAL,PWROCGCRIXX01,2039,48.862526
GLOBAL,PWROCGCRIXX01,2040,48.862526
GLOBAL,PWROCGCRIXX01,2041,53.092416
GLOBAL,PWROCGCRIXX01,2042,53.238274
GLOBAL,PWROCGCRIXX01,2043,53.092416
GLOBAL,PWROCGCRIXX01,2044,53.092416
GLOBAL,PWROCGCRIXX01,2045,53.238274
GLOBAL,PWROCGCRIXX01,2046,56.009582
GLOBAL,PWROCGCRIXX01,2047,55.863723
GLOBAL,PWROCGCRIXX01,2048,56.009582
GLOBAL,PWROCGCRIXX01,2049,56.009582
GLOBAL,PWROCGCRIXX01,2050,55.863723
GLOBAL,PWRTRNCRIXX,2021,0.0013979452
GLOBAL,PWRTRNCRIXX,2022,0.0014763699
GLOBAL,PWRTRNCRIXX,2023,0.001555137
GLOBAL,PWRTRNCRIXX,2024,0.0016335616
GLOBAL,PWRTRNCRIXX,2025,0.0017123288
GLOBAL,PWRTRNCRIXX,2026,0.0018047945
GLOBAL,PWRTRNCRIXX,2027,0.0018976027
GLOBAL,PWRTRNCRIXX,2028,0.0019900685
GLOBAL,PWRTRNCRIXX,2029,0.0020828767
GLOBAL,PWRTRNCRIXX,2030,0.0021756849
GLOBAL,PWRTRNCRIXX,2031,0.0022770548
GLOBAL,PWRTRNCRIXX,2032,0.0023784247
GLOBAL,PWRTRNCRIXX,2033,0.0024797945
GLOBAL,PWRTRNCRIXX,2034,0.0025811644
GLOBAL,PWRTRNCRIXX,2035,0.0026825342
GLOBAL,PWRTRNCRIXX,2036,0.0027972603
GLOBAL,PWRTRNCRIXX,2037,0.0029119863
GLOBAL,PWRTRNCRIXX,2038,0.0030263699
GLOBAL,PWRTRNCRIXX,2039,0.0031410959
GLOBAL,PWRTRNCRIXX,2040,0.0032558219
GLOBAL,PWRTRNCRIXX,2041,0.0033804795
GLOBAL,PWRTRNCRIXX,2042,0.0035054795
GLOBAL,PWRTRNCRIXX,2043,0.003630137
GLOBAL,PWRTRNCRIXX,2044,0.0037547945
GLOBAL,PWRTRNCRIXX,2045,0.0038797945
GLOBAL,PWRTRNCRIXX,2046,0.0040113014
GLOBAL,PWRTRNCRIXX,2047,0.0041424658
GLOBAL,PWRTRNCRIXX,2048,0.0042739726
GLOBAL,PWRTRNCRIXX,2049,0.0044054795
GLOBAL,PWRTRNCRIXX,2050,0.0045366438
GLOBAL,PWRWONCRIXX01,2021,232.53194
GLOBAL,PWRWONCRIXX01,2022,239.75453
GLOBAL,PWRWONCRIXX01,2023,240.80149
GLOBAL,PWRWONCRIXX01,2024,239.75453
GLOBAL,PWRWONCRIXX01,2025,240.80149
GLOBAL,PWRWONCRIXX01,2026,927.50251
GLOBAL,PWRWONCRIXX01,2027,283.72697
GLOBAL,PWRWONCRIXX01,2028,282.68001
GLOBAL,PWRWONCRIXX01,2029,283.72697
GLOBAL,PWRWONCRIXX01,2030,283.72697
GLOBAL,PWRWONCRIXX01,2031,308.48165
GLOBAL,PWRWONCRIXX01,2032,372.49142
GLOBAL,PWRWONCRIXX01,2033,305.64287
GLOBAL,PWRWONCRIXX01,2034,304.22347
GLOBAL,PWRWONCRIXX01,2035,302.80408
GLOBAL,PWRWONCRIXX01,2036,341.09415
GLOBAL,PWRWONCRIXX01,2037,339.48774
GLOBAL,PWRWONCRIXX01,2038,336.87273
GLOBAL,PWRWONCRIXX01,2039,336.27493
GLOBAL,PWRWONCRIXX01,2040,669.66852
GLOBAL,PWRWONCRIXX01,2041,363.63982
GLOBAL,PWRWONCRIXX01,2042,364.63883
GLOBAL,PWRWONCRIXX01,2043,363.63982
GLOBAL,PWRWONCRIXX01,2044,363.63982
GLOBAL,PWRWONCRIXX01,2045,364.63883
GLOBAL,PWRWONCRIXX01,2046,383.62003
GLOBAL,PWRWONCRIXX01,2047,382.62102
GLOBAL,PWRWONCRIXX01,2048,383.62003
GLOBAL,PWRWONCRIXX01,2049,383.62003
GLOBAL,PWRWONCRIXX01,2050,382.62102
GLOBAL,RNWBIOCRIXX,2021,0.002270592
GLOBAL,RNWBIOCRIXX,2022,0.002270592
GLOBAL,RNWBIOCRIXX,2023,0.002270592
GLOBAL,RNWBIOCRIXX,2024,0.002270592
GLOBAL,RNWBIOCRIXX,2025,0.002270592
GLOBAL,RNWBIOCRIXX,2026,0.002270592
GLOBAL,RNWBIOCRIXX,2027,0.002270592
GLOBAL,RNWBIOCRIXX,2028,0.002270592
GLOBAL,RNWBIOCRIXX,2029,0.002270592
GLOBAL,RNWBIOCRIXX,2030,0.002270592
GLOBAL,RNWBIOCRIXX,2031,0.002270592
GLOBAL,RNWGEOCRIXX,2021,0.0061589808
GLOBAL,RNWGEOCRIXX,2022,0.0064460067
GLOBAL,RNWGEOCRIXX,2023,0.006843312
GLOBAL,RNWGEOCRIXX,2024,0.006843312
GLOBAL,RNWGEOCRIXX,2025,0.006843312
GLOBAL,RNWHYDCRIXX,2021,0.031617741
GLOBAL,RNWHYDCRIXX,2022,0.031617741
GLOBAL,RNWHYDCRIXX,2023,0.02917221
GLOBAL,RNWHYDCRIXX,2024,0.028852495
GLOBAL,RNWHYDCRIXX,2025,0.028531384
GLOBAL,RNWHYDCRIXX,2026,0.028455967
GLOBAL,RNWHYDCRIXX,2027,0.031617741
GLOBAL,RNWHYDCRIXX,2028,0.028455967
GLOBAL,RNWHYDCRIXX,2029,0.031617741
GLOBAL,RNWHYDCRIXX,2030,0.028455967
GLOBAL,RNWHYDCRIXX,2031,0.028455967
GLOBAL,RNWHYDCRIXX,2032,0.028455967
GLOBAL,RNWHYDCRIXX,2033,0.031617741
GLOBAL,RNWHYDCRIXX,2034,0.031617741
GLOBAL,RNWHYDCRIXX,2035,0.031617741
GLOBAL,RNWHYDCRIXX,2036,0.028455967
GLOBAL,RNWHYDCRIXX,2037,0.028455967
GLOBAL,RNWHYDCRIXX,2038,0.028455967
GLOBAL,RNWHYDCRIXX,2039,0.031617741
GLOBAL,RNWHYDCRIXX,2040,0.031617741
GLOBAL,RNWHYDCRIXX,2041,0.031617741
GLOBAL,RNWHYDCRIXX,2042,0.028455967
GLOBAL,RNWHYDCRIXX,2043,0.031617741
GLOBAL,RNWHYDCRIXX,2044,0.031617741
GLOBAL,RNWHYDCRIXX,2045,0.031617741
GLOBAL,RNWHYDCRIXX,2046,0.031617741
GLOBAL,RNWHYDCRIXX,2047,0.031617741
GLOBAL,RNWHYDCRIXX,2048,0.031617741
GLOBAL,RNWHYDCRIXX,2049,0.031617741
GLOBAL,RNWHYDCRIXX,2050,0.028455967
GLOBAL,RNWWONCRIXX,2021,0.0056781579
GLOBAL,RNWWONCRIXX,2022,0.007864332
GLOBAL,RNWWONCRIXX,2023,0.012396558
GLOBAL,RNWWONCRIXX,2024,0.015189473
GLOBAL,RNWWONCRIXX,2025,0.017994584
GLOBAL,RNWWONCRIXX,2026,0.027829313
GLOBAL,RNWWONCRIXX,2027,0.027594339
GLOBAL,RNWWONCRIXX,2028,0.033672113
GLOBAL,RNWWONCRIXX,2029,0.033437139
GLOBAL,RNWWONCRIXX,2030,0.039525713
GLOBAL,RNWWONCRIXX,2031,0.042722513
GLOBAL,RNWWONCRIXX,2032,0.046550033
GLOBAL,RNWWONCRIXX,2033,0.046585059
GLOBAL,RNWWONCRIXX,2034,0.049781859
GLOBAL,RNWWONCRIXX,2035,0.052978659
GLOBAL,RNWWONCRIXX,2036,0.059758433
GLOBAL,RNWWONCRIXX,2037,0.063376433
GLOBAL,RNWWONCRIXX,2038,0.066983633
GLOBAL,RNWWONCRIXX,2039,0.067439859
GLOBAL,RNWWONCRIXX,2040,0.071057859
