REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWROCGCRIXX01,2022,0.01130829
GLOBAL,PWROCGCRIXX01,2023,0.078403101
GLOBAL,PWROCGCRIXX01,2024,0.145206196
GLOBAL,PWROCGCRIXX01,2025,0.212301007
GLOBAL,PWROCGCRIXX01,2026,0.453372157
GLOBAL,PWROCGCRIXX01,2027,1.188027347
GLOBAL,PWROCGCRIXX01,2028,1.266790821
GLOBAL,PWROCGCRIXX01,2029,1.345846012
GLOBAL,PWROCGCRIXX01,2030,1.424901203
GLOBAL,PWROCGCRIXX01,2031,1.5112493079999998
GLOBAL,PWROCGCRIXX01,2032,1.6319965579999998
GLOBAL,PWROCGCRIXX01,2033,1.7183446629999997
GLOBAL,PWROCGCRIXX01,2034,1.8046927679999996
GLOBAL,PWROCGCRIXX01,2035,1.8910408729999995
GLOBAL,PWROCGCRIXX01,2036,1.9887659239999995
GLOBAL,PWROCGCRIXX01,2037,2.0864909750000002
GLOBAL,PWROCGCRIXX01,2038,2.18392431
GLOBAL,PWROCGCRIXX01,2039,2.281649361
GLOBAL,PWROCGCRIXX01,2040,2.3793744119999998
GLOBAL,PWROCGCRIXX01,2041,2.485559242
GLOBAL,PWROCGCRIXX01,2042,2.592035792
GLOBAL,PWROCGCRIXX01,2043,2.698220622
GLOBAL,PWROCGCRIXX01,2044,2.804405452
GLOBAL,PWROCGCRIXX01,2045,2.910882002
GLOBAL,PWROCGCRIXX01,2046,3.022901162
GLOBAL,PWROCGCRIXX01,2047,3.134628612
GLOBAL,PWROCGCRIXX01,2048,3.246647772
GLOBAL,PWROCGCRIXX01,2049,3.358666932
GLOBAL,PWROCGCRIXX01,2050,3.4703943820000003
GLOBAL,PWRWONCRIXX01,2021,0.1775053
GLOBAL,PWRWONCRIXX01,2022,0.36052402
GLOBAL,PWRWONCRIXX01,2023,0.54434195
GLOBAL,PWRWONCRIXX01,2024,0.7273606699999999
GLOBAL,PWRWONCRIXX01,2025,0.9111786
GLOBAL,PWRWONCRIXX01,2026,1.61919578
GLOBAL,PWRWONCRIXX01,2027,1.83578126
GLOBAL,PWRWONCRIXX01,2028,2.05156753
GLOBAL,PWRWONCRIXX01,2029,2.26815301
GLOBAL,PWRWONCRIXX01,2030,2.48473849
GLOBAL,PWRWONCRIXX01,2031,2.7213041799999997
GLOBAL,PWRWONCRIXX01,2032,3.00827754
GLOBAL,PWRWONCRIXX01,2033,3.24484323
GLOBAL,PWRWONCRIXX01,2034,3.48140892
GLOBAL,PWRWONCRIXX01,2035,3.7179746099999997
GLOBAL,PWRWONCRIXX01,2036,3.98570942
GLOBAL,PWRWONCRIXX01,2037,4.25344423
GLOBAL,PWRWONCRIXX01,2038,4.52037983
GLOBAL,PWRWONCRIXX01,2039,4.788114640000001
GLOBAL,PWRWONCRIXX01,2040,5.323849450000001
GLOBAL,PWRWONCRIXX01,2041,5.6147613100000004
GLOBAL,PWRWONCRIXX01,2042,5.90647238
GLOBAL,PWRWONCRIXX01,2043,6.19738424
GLOBAL,PWRWONCRIXX01,2044,6.4882960999999995
GLOBAL,PWRWONCRIXX01,2045,6.780007169999999
GLOBAL,PWRWONCRIXX01,2046,7.086903189999999
GLOBAL,PWRWONCRIXX01,2047,7.393000009999999
GLOBAL,PWRWONCRIXX01,2048,7.699896029999999
GLOBAL,PWRWONCRIXX01,2049,8.00679205
GLOBAL,PWRWONCRIXX01,2050,8.31288887
