REGION,FUEL,YEAR,VALUE
GLOBAL,ELCCRIXX02,2021,40.82
GLOBAL,ELCCRIXX02,2022,43.11
GLOBAL,ELCCRIXX02,2023,45.41
GLOBAL,ELCCRIXX02,2024,47.7
GLOBAL,ELCCRIXX02,2025,50.0
GLOBAL,ELCCRIXX02,2026,52.7
GLOBAL,ELCCRIXX02,2027,55.41
GLOBAL,ELCCRIXX02,2028,58.11
GLOBAL,ELCCRIXX02,2029,60.82
GLOBAL,ELCCRIXX02,2030,63.53
GLOBAL,ELCCRIXX02,2031,66.49
GLOBAL,ELCCRIXX02,2032,69.45
GLOBAL,ELCCRIXX02,2033,72.41
GLOBAL,ELCCRIXX02,2034,75.37
GLOBAL,ELCCRIXX02,2035,78.33
GLOBAL,ELCCRIXX02,2036,81.68
GLOBAL,ELCCRIXX02,2037,85.03
GLOBAL,ELCCRIXX02,2038,88.37
GLOBAL,ELCCRIXX02,2039,91.72
GLOBAL,ELCCRIXX02,2040,95.07
GLOBAL,ELCCRIXX02,2041,98.71
GLOBAL,ELCCRIXX02,2042,102.36
GLOBAL,ELCCRIXX02,2043,106.0
GLOBAL,ELCCRIXX02,2044,109.64
GLOBAL,ELCCRIXX02,2045,113.29
GLOBAL,ELCCRIXX02,2046,117.13
GLOBAL,ELCCRIXX02,2047,120.96
GLOBAL,ELCCRIXX02,2048,124.8
GLOBAL,ELCCRIXX02,2049,128.64
GLOBAL,ELCCRIXX02,2050,132.47
GLOBAL,ELCPANXX02,2021,62.18
GLOBAL,ELCPANXX02,2022,66.54
GLOBAL,ELCPANXX02,2023,70.9
GLOBAL,ELCPANXX02,2024,75.26
GLOBAL,ELCPANXX02,2025,79.62
GLOBAL,ELCPANXX02,2026,84.13
GLOBAL,ELCPANXX02,2027,88.63
GLOBAL,ELCPANXX02,2028,93.14
GLOBAL,ELCPANXX02,2029,97.64
GLOBAL,ELCPANXX02,2030,102.15
GLOBAL,ELCPANXX02,2031,106.85
GLOBAL,ELCPANXX02,2032,111.55
GLOBAL,ELCPANXX02,2033,116.26
GLOBAL,ELCPANXX02,2034,120.96
GLOBAL,ELCPANXX02,2035,125.66
GLOBAL,ELCPANXX02,2036,130.6
GLOBAL,ELCPANXX02,2037,135.55
GLOBAL,ELCPANXX02,2038,140.49
GLOBAL,ELCPANXX02,2039,145.43
GLOBAL,ELCPANXX02,2040,150.37
GLOBAL,ELCPANXX02,2041,155.7
GLOBAL,ELCPANXX02,2042,161.04
GLOBAL,ELCPANXX02,2043,166.37
GLOBAL,ELCPANXX02,2044,171.7
GLOBAL,ELCPANXX02,2045,177.03
GLOBAL,ELCPANXX02,2046,182.55
GLOBAL,ELCPANXX02,2047,188.07
GLOBAL,ELCPANXX02,2048,193.58
GLOBAL,ELCPANXX02,2049,199.1
GLOBAL,ELCPANXX02,2050,204.62
