REGION,FUEL,YEAR,VALUE
GLOBAL,ELCCRIXX02,2021,40.82
GLOBAL,ELCCRIXX02,2022,43.11
GLOBAL,ELCCRIXX02,2023,45.41
GLOBAL,ELCCRIXX02,2024,47.7
GLOBAL,ELCCRIXX02,2025,50.0
GLOBAL,ELCCRIXX02,2026,52.7
GLOBAL,ELCCRIXX02,2027,55.41
GLOBAL,ELCCRIXX02,2028,58.11
GLOBAL,ELCCRIXX02,2029,60.82
GLOBAL,ELCCRIXX02,2030,63.53
GLOBAL,ELCCRIXX02,2031,66.49
GLOBAL,ELCCRIXX02,2032,69.45
GLOBAL,ELCCRIXX02,2033,72.41
GLOBAL,ELCCRIXX02,2034,75.37
GLOBAL,ELCCRIXX02,2035,78.33
GLOBAL,ELCCRIXX02,2036,81.68
GLOBAL,ELCCRIXX02,2037,85.03
GLOBAL,ELCCRIXX02,2038,88.37
GLOBAL,ELCCRIXX02,2039,91.72
GLOBAL,ELCCRIXX02,2040,95.07
GLOBAL,ELCCRIXX02,2041,98.71
GLOBAL,ELCCRIXX02,2042,102.36
GLOBAL,ELCCRIXX02,2043,106.0
GLOBAL,ELCCRIXX02,2044,109.64
GLOBAL,ELCCRIXX02,2045,113.29
GLOBAL,ELCCRIXX02,2046,117.13
GLOBAL,ELCCRIXX02,2047,120.96
GLOBAL,ELCCRIXX02,2048,124.8
GLOBAL,ELCCRIXX02,2049,128.64
GLOBAL,ELCCRIXX02,2050,132.47
GLOBAL,ELCCRIAR02,2021,9.5
GLOBAL,ELCCRIAR02,2022,11.03
GLOBAL,ELCCRIAR02,2023,12.58
GLOBAL,ELCCRIAR02,2024,14.11
GLOBAL,ELCCRIAR02,2025,15.66
GLOBAL,ELCCRIAR02,2026,17.32
GLOBAL,ELCCRIAR02,2027,18.97
GLOBAL,ELCCRIAR02,2028,20.62
GLOBAL,ELCCRIAR02,2029,22.27
GLOBAL,ELCCRIAR02,2030,23.95
GLOBAL,ELCCRIAR02,2031,25.73
GLOBAL,ELCCRIAR02,2032,27.51
GLOBAL,ELCCRIAR02,2033,29.28
GLOBAL,ELCCRIAR02,2034,31.09
GLOBAL,ELCCRIAR02,2035,32.86
GLOBAL,ELCCRIAR02,2036,34.84
GLOBAL,ELCCRIAR02,2037,36.82
GLOBAL,ELCCRIAR02,2038,38.8
GLOBAL,ELCCRIAR02,2039,40.78
GLOBAL,ELCCRIAR02,2040,42.75
GLOBAL,ELCCRIAR02,2041,44.93
GLOBAL,ELCCRIAR02,2042,47.11
GLOBAL,ELCCRIAR02,2043,49.29
GLOBAL,ELCCRIAR02,2044,51.47
GLOBAL,ELCCRIAR02,2045,53.64
GLOBAL,ELCCRIAR02,2046,56.0
GLOBAL,ELCCRIAR02,2047,58.35
GLOBAL,ELCCRIAR02,2048,60.7
GLOBAL,ELCCRIAR02,2049,63.06
GLOBAL,ELCCRIAR02,2050,65.41
